Australia,30-34,Male,Tabs,6 - 10 years,Back-end web developer,Windows 8,,,,,,,,C#,,,,,,,,,,,,,JavaScript,,,MongoDB,,,,,,,,,,,,,,,SQL Server,,,,,,,,AngularJS,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,,,,,,,,,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,Bachelor of Science in Computer Science (or related field),,,,Rather not say,Rather not say,Employed full-time,Consulting,I'm somewhat satisfied with my job,I have no say in purchasing what I need or want at work,Never,Yes,I am not interested in other job opportunities,Salary,,,,,Tech stack,,,,,,,,Company culture,,,,,Neutral - I don't mind working in the office or remotely,,,Searching for a job that seems interesting,,Writing my CV and keeping it updated,,,Several times a day,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Tolerate,Tolerate,I don't have an account,Hate,Great,I don't have an account,I don't have an account,,,,,,,,,Salary,,,,,,People I would be working with,,,,,,,,,,,,,,,,No spam from recruiters,It's a jobs site specificallyæfor programmers,Goodæselection of relevant jobs,To showcase my Stack Overflow activity,,,0,2-5 hours per week,Multipleætimes a day,NotePad++,,Dark,Git,,SVN,,,TFS,,,,,,Git,,To get help for my job,To give help to others,,,To demonstrate that I'm good at what I do,,To receive help onæmy personal projects,Because I love to learn,,Usually,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,It feels good to demonstrate my expertise.,,,,,
Belgium,35-39,Male,Tabs,11+ years,Back-end web developer,Windows 8,,Android,Arduino / Raspberry Pi,AngularJS,,,,C#,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,,SQL Server,,,Windows Phone,,Xamarin,Android,,AngularJS,,,,C#,,,,,,,,,,,,,,,,,,,,PHP,Python,,,,,,,,,,SQL Server,,,Windows Phone,,Xamarin,,,,,,,,Bachelor of Science in Computer Science (or related field),,,,,,Freelance / Contractor,Consulting,I'm somewhat satisfied with my job,I can buy anything I want without asking anyone,Part-time Remote,No,I am not interested in other job opportunities,,,,,,,,,,,,,,,,,,,Very important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,35-39,Male,Tabs,11+ years,Back-end web developer,Mac OS X,,Android,Arduino / Raspberry Pi,,,,,,,,,,,,,,,,iOS,Java,,,,,,Objective-C,,,,,,,,,,,,,,,,,,,,Arduino / Raspberry Pi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No formal training; I'm self-taught,,,,,,,,,,,,,Employed full-time,Consulting,I love my job,I can recommend or request products,Part-time Remote,Yes,I am open to new job opportunities,Salary,,,,,,,,,,,Office location,,,,,,Flexible work hours,Very important,Finding time to job search,,,,,,,About once a week,I wish more recruiters contacted me!,Great,Great,Hate,Hate,Hate,Hate,Hate,,,,,,Salary information is provided,,,Salary,,,,,,,,Tolerate,Tolerate,Tolerate,Great,Great,Show meæmore live code,Be more flexible about interview scheduling,,,,,,,,,It's a jobs site specificallyæfor programmers,,,,,0,5-10 hours per week,Multipleætimes a day,XEmacs,,Light,Git,,SVN,,,,,,,,,Git,,To get help for my job,To give help to others,,,,,,,,Always,It feels good to help a programmer in need,,,,,,,
Belgium,25-29,Male,Tabs,2 - 5 years,Back-end web developer,Windows 8,,,,,,,,C#,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,,,,,Windows Phone,,X++,,,,,,,C#,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,,,,,,,,,On-the-job training,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,Bachelor of Science in Computer Science (or related field),,,,"$20,000 - $40,000",30000,Employed full-time,Consulting,I'm somewhat satisfied with my job,I can recommend or request products,I rarely work remote,Yes,I am open to new job opportunities,Salary,,,,,,,,,,,Office location,Quality of colleagues,,,,,,Neutral - I don't mind working in the office or remotely,,Finding an open job that I'm qualified for,,Interesting companies rarely respond,,,,Rarely,I wish more recruiters contacted me!,Great,Tolerate,I don't have an account,Great,Tolerate,I don't have an account,I don't have an account,Message is personalized,,,,,Salary information is provided,,,,,,,Office location,,,,Tolerate,Tolerate,Great,Great,Great,Show meæmore live code,,,,,,,,Prepare me for who I will be speaking with,,,,,,,1,10-20 hours per week,Once a day,Vim,Visual Studio,Light,Git,,,,,,,,,,,Git,,To get help for my job,,,To maintain an online presence,,,To receive help onæmy personal projects,Because I love to learn,,Usually,It feels good to help a programmer in need,,It feels good to demonstrate my expertise.,Demonstrating my expertise will benefit me,,,,
Brazil,40-50,Male,Tabs,11+ years,Back-end web developer,Windows 8,,,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,Python,,,,,,,Sharepoint,,,SQL Server,,,,Wordpress,,,,,,,,C#,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,Sharepoint,,,,,,,,,,On-the-job training,,,,,,Bachelor of Science in Computer Science (or related field),,,,"$60,000 - $80,000",70000,Employed full-time,Consulting,I love my job,I have no say in purchasing what I need or want at work,I rarely work remote,No,I am not interested in other job opportunities,Salary,,,,,,,,,,,,,Company culture,,,,Flexible work hours,Somewhat important,,,,Interesting companies rarely respond,,,The interview process,Rarely,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Great,Hate,Hate,Tolerate,Tolerate,Tolerate,Hate,Message is personalized,,,,,,,,,,,Tech stack,,,People I would be working with,,Tolerate,Great,Great,Tolerate,Great,Show meæmore live code,,,,Introduce me to the team,,Show me the space in which I will work,,,,,,,Because the jobs ads are right there on Stack Overflow,,3,2-5 hours per week,Once a day,Sublime Text,,Light,Git,,,,,TFS,,,,,,Git,,,To give help to others,,,,,,Because I love to learn,,Usually,It feels good to help a programmer in need,,,,,,,
Brazil,25-29,Male,It depends,2 - 5 years,Back-end web developer,Debian,,,,,C,,,,,,,,,,,,,,,Java,,,,,,,,,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scala,,,,,,,,,,,,,,,,,,Masters Degree in Computer Science (or related field),,,"$20,000 - $40,000",30000,Employed full-time,Consulting,I'm somewhat satisfied with my job,I can recommend or request products,I rarely work remote,Yes,I am open to new job opportunities,Salary,,,,,,,,,,,,,Company culture,,,,Flexible work hours,Neutral - I don't mind working in the office or remotely,Finding time to job search,,Searching for a job that seems interesting,,,Taking time off work to interview,,Rarely,I wish more recruiters contacted me!,Great,Great,Hate,Great,Great,Hate,Tolerate,Message is personalized,,,,Company culture is described,,,,Salary,Benefits,,Tech stack,Office location,Job title,,Details about the product or project I'd be working on,Tolerate,Tolerate,Great,Great,Great,,Be more flexible about interview scheduling,Offer remote interviews (ie. via video conference),,,,,,,,It's a jobs site specificallyæfor programmers,,,,,2,1-2 hours per week,Multipleætimes a day,Vim,,Dark,Git,,SVN,,,,,,,,,Git,,To get help for my job,To give help to others,,,,,,,,Usually,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,,,,,,
Brazil,20-24,Male,Tabs,2 - 5 years,Back-end web developer,Windows 8,,,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL Server,,,,,,Android,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows Phone,,,No formal training; I'm self-taught,,,,,,,Bachelor of Science in Computer Science (or related field),,,,"Less than $20,000",10000,Employed part-time,Consulting,I'm neither satisfied nor dissatisfied with my job,"I influence purchasing decisions, but don't have final approval",I rarely work remote,No,I am open to new job opportunities,,,,,,Tech stack,,,Work/life balance,Opportunity for advancement,,,,,,,,,Somewhat important,,Finding an open job that I'm qualified for,,,Writing my CV and keeping it updated,,The interview process,Rarely,I wish more recruiters contacted me!,Great,Great,I don't have an account,Great,Great,Tolerate,Great,,Code or projects I've worked on are referenced,,Team I would be working with isædescribed,Company culture is described,,,,Salary,,,Tech stack,,,People I would be working with,,Tolerate,Tolerate,Great,Tolerate,Great,,Be more flexible about interview scheduling,,,,,Show me the space in which I will work,,,,,,,,,0,5-10 hours per week,Multipleætimes a day,NotePad++,,Dark,,,SVN,,,,,,,,,SVN,,,To give help to others,,,,,,Because I love to learn,,Usually,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,,,,,,
Canada,25-29,Male,Tabs,6 - 10 years,Back-end web developer,Windows 8,,,,,C,C++,C++11,C#,,,,,,,,,,,,Java,JavaScript,,,,,Objective-C,,,,,,,,,,Sharepoint,,SQL,SQL Server,,,,,,,,,C,C++,C++11,C#,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,Sharepoint,,SQL,SQL Server,,,,,,,,"Intensive code ""boot-camp"" or night school",,,,,,,,,"$40,000 - $60,000",50000,Employed full-time,Consulting,I'm somewhat satisfied with my job,"I influence purchasing decisions, but don't have final approval",I rarely work remote,No,I am open to new job opportunities,Salary,,,,,,,,,,,,Quality of colleagues,,,,Remote working options,,Very important,,,Searching for a job that seems interesting,,,,,Never,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Great,Hate,Hate,Tolerate,Hate,Hate,I don't have an account,,,Stack Overflow activity is mentioned,,,Salary information is provided,,,Salary,,,,Office location,,,,Tolerate,Tolerate,Tolerate,Great,Great,Show meæmore live code,,,Introduce me to the boss,,,,,,,,,,,,4,2-5 hours per week,Multipleætimes a day,NotePad++,,Dark,Git,,,,,,,,,,,Git,,To get help for my job,To give help to others,,,,To communicate with others like me,,Because I love to learn,,Usually,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,,,I feel a sense of responsibility to the developer community,,,
Canada,25-29,Male,It depends,6 - 10 years,Back-end web developer,Windows 7,windows server 2008 r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,vb.net,Android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor of Science in Computer Science (or related field),,,,"$40,000 - $60,000",50000,Employed full-time,Consulting,I'm neither satisfied nor dissatisfied with my job,I can recommend or request products,Never,No,I am not interested in other job opportunities,Salary,,,,,,,,,Opportunity for advancement,,,,,,,,Flexible work hours,Not important,,Finding an open job that I'm qualified for,,,,,,Rarely,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",I don't have an account,I don't have an account,I don't have an account,I don't have an account,I don't have an account,I don't have an account,I don't have an account,Message is personalized,,,,,Salary information is provided,Benefits / perks of the work environment are described,,Salary,,,Tech stack,Office location,,,,Tolerate,Tolerate,Tolerate,Tolerate,Tolerate,Show meæmore live code,,,,,,,,,,,,,,,1,None,Once a day,NotePad++,,Light,,,,,,TFS,,,,,,,I haven't tried them all.,To get help for my job,To give help to others,,,,,,,,Sometimes,It feels good to help a programmer in need,,,,,,,
Canada,30-34,Male,Tabs,2 - 5 years,Back-end web developer,Windows 7,,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clojure,,,,,,,,,,,,,,,,,,,,Ruby,,,Scala,,,,,,,,,Ember,,,,,,,,,Masters Degree in Computer Science (or related field),,,"$60,000 - $80,000",70000,Employed full-time,Consulting,I'm somewhat dissatisfied with my job,"I influence purchasing decisions, but don't have final approval",I rarely work remote,No,I am open to new job opportunities,,,,,,,,,Work/life balance,,,,Quality of colleagues,,,Building something that matters,,,Somewhat important,,,Searching for a job that seems interesting,Interesting companies rarely respond,Writing my CV and keeping it updated,,,About once a week,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Great,Great,I don't have an account,Tolerate,Great,I don't have an account,Hate,,,,Team I would be working with isædescribed,Company culture is described,,,,,,,,,,People I would be working with,Details about the product or project I'd be working on,Great,Hate,Tolerate,Tolerate,Great,Show meæmore live code,,,,Introduce me to the team,,,,,,It's a jobs site specificallyæfor programmers,Goodæselection of relevant jobs,,,,1,2-5 hours per week,Multipleætimes a day,Emacs,,Dark,,,,,Perforce,,,,,,,Mercurial,,To get help for my job,,,To maintain an online presence,To demonstrate that I'm good at what I do,,,Because I love to learn,,Always,,My answer will help lots of people who have the same problem in the future,,,I feel a sense of responsibility to the developer community,,,"I don't answer much (or at all), but I want to answer more"
Canada,20-24,Male,Spaces,1 - 2 years,Back-end web developer,Windows 8,,,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,,,,AngularJS,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,,No formal training; I'm self-taught,On-the-job training,,,,,,,,,,"$60,000 - $80,000",70000,Employed full-time,Consulting,I love my job,I have no say in purchasing what I need or want at work,I rarely work remote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,35-39,Male,Tabs,11+ years,Back-end web developer,Windows 7,,,,,,,,,,,,,,,,,,,,,JavaScript,LAMP,,,,,,PHP,,,,,,,,,,SQL,,,,,Wordpress,,,,AngularJS,,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,,,,MongoDB,,,,,,,Redis,,,,,,,,,,,,,,No formal training; I'm self-taught,,,,,,,,,,,"$80,000 - $100,000",90000,Freelance / Contractor,Consulting,I'm somewhat satisfied with my job,"I influence purchasing decisions, but don't have final approval",Full-time Remote,No,I am open to new job opportunities,Salary,,,,,,,,Work/life balance,,,,,,,,,Flexible work hours,Neutral - I don't mind working in the office or remotely,,,Searching for a job that seems interesting,,,,,Rarely,I wish more recruiters contacted me!,Tolerate,Tolerate,I don't have an account,Hate,Tolerate,Tolerate,Tolerate,,Code or projects I've worked on are referenced,,,Company culture is described,Salary information is provided,,,Salary,,,Tech stack,Office location,Job title,,,Tolerate,Tolerate,Tolerate,Tolerate,Tolerate,,,,,,,Show me the space in which I will work,,Prepare me for who I will be speaking with,,,,,,,3,1-2 hours per week,Once a day,,PhpStorm,Dark,Git,,,CVS,,,,,,,,Git,,To get help for my job,,,,,,,,,Usually,,,,,,,,"I don't answer much (or at all), but I want to answer more"
Canada,30-34,Male,Spaces,6 - 10 years,Back-end web developer,Windows 7,,,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,,,,AngularJS,,,,C#,,,,,,,,,,,,Java,JavaScript,,,,Node.js,,,,Python,,,Ruby,,Salesforce,,,,SQL,SQL Server,,,,,,No formal training; I'm self-taught,On-the-job training,,,,,,Bachelor of Science in Computer Science (or related field),,,,"$80,000 - $100,000",90000,Employed full-time,Consulting,I'm somewhat dissatisfied with my job,I can recommend or request products,I rarely work remote,Yes,I am open to new job opportunities,Salary,,Ability to make or influence important decisions,,,,,,,,,,,Company culture,,,,,Neutral - I don't mind working in the office or remotely,,,Searching for a job that seems interesting,,Writing my CV and keeping it updated,Taking time off work to interview,,About once a week,I wish more recruiters contacted me!,Great,Great,I don't have an account,Hate,Great,Hate,Tolerate,Message is personalized,Code or projects I've worked on are referenced,,,,Salary information is provided,,,,,Company name,,,,,,Tolerate,Tolerate,Tolerate,Great,Great,,,,Introduce me to the boss,Introduce me to the team,,,,Prepare me for who I will be speaking with,,It's a jobs site specificallyæfor programmers,,,Because the jobs ads are right there on Stack Overflow,,2,1-2 hours per week,Once a day,NotePad++,,Light,Git,,,,,,,,,,,Git,,To get help for my job,To give help to others,,To maintain an online presence,To demonstrate that I'm good at what I do,,To receive help onæmy personal projects,Because I love to learn,,Sometimes,,My answer will help lots of people who have the same problem in the future,,Demonstrating my expertise will benefit me,I feel a sense of responsibility to the developer community,,,
China,25-29,Male,It depends,2 - 5 years,Back-end web developer,Windows 7,,,,,,,,C#,,CoffeeScript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C#,,CoffeeScript,,,,,F#,,,,,,,,,MongoDB,,,,,,,Redis,,,,,,,,,,,,,,,,,,,Industry certification program,,Bachelor of Science in Computer Science (or related field),,,,"Less than $20,000",10000,Employed full-time,Consulting,I'm somewhat dissatisfied with my job,I have no say in purchasing what I need or want at work,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,30-34,Male,It depends,2 - 5 years,Back-end web developer,,Windows Server 2008R2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sharepoint,,,SQL Server,,,,,,,,AngularJS,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,Sharepoint,,SQL,SQL Server,,,,,,No formal training; I'm self-taught,On-the-job training,,,,,,,Masters Degree in Computer Science (or related field),,,"$100,000 - $120,000",110000,Employed full-time,Consulting,I'm somewhat satisfied with my job,I can recommend or request products,I rarely work remote,No,I am not interested in other job opportunities,,,,,,,,,Work/life balance,,,,,,,Building something that matters,,Flexible work hours,Neutral - I don't mind working in the office or remotely,,Finding an open job that I'm qualified for,,Interesting companies rarely respond,,,,Rarely,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Tolerate,Great,I don't have an account,Tolerate,Tolerate,I don't have an account,Tolerate,Message is personalized,,,Team I would be working with isædescribed,,,Benefits / perks of the work environment are described,,,,,Tech stack,Office location,,People I would be working with,,Hate,Tolerate,Tolerate,Great,Great,Show meæmore live code,,,,,,,,Prepare me for who I will be speaking with,,,,,,,0,1-2 hours per week,Once a day,NotePad++,,Dark,Git,,SVN,,,,,,,,,Git,,To get help for my job,,,,,,,Because I love to learn,,Usually,It feels good to help a programmer in need,,It feels good to demonstrate my expertise.,,,,,"I don't answer much (or at all), but I want to answer more"
Denmark,25-29,Male,Tabs,2 - 5 years,Back-end web developer,Windows 7,,,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,,,,,,,,,C#,,,,,,Dart,,,,,,Java,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,,,,,,,,,,,Masters Degree in Computer Science (or related field),,,"$60,000 - $80,000",70000,Employed full-time,Consulting,I love my job,I can recommend or request products,I rarely work remote,Yes,I am not interested in other job opportunities,,,,,,,,,Work/life balance,Opportunity for advancement,,Office location,,,,,,,Not important,,,Searching for a job that seems interesting,,Writing my CV and keeping it updated,,,Rarely,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Tolerate,Tolerate,I don't have an account,Tolerate,I don't have an account,Hate,Hate,Message is personalized,Code or projects I've worked on are referenced,,,Company culture is described,,,,,,,,,,,Details about the product or project I'd be working on,Tolerate,Tolerate,Tolerate,Great,Tolerate,,,,,,,Show me the space in which I will work,,,,,,,,,2,1-2 hours per week,Once a day,NotePad++,,Dark,Git,,SVN,,,,,,,,,Git,,To get help for my job,,,,,,,Because I love to learn,,Usually,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,,,,,,
Denmark,30-34,Male,Spaces,6 - 10 years,Back-end web developer,Fedora,,,,,,,,,,,,Clojure,,,,,,,,,JavaScript,,,MongoDB,,,,PHP,,,,,,Salesforce,,,,SQL,,,,,,ClojureScript,,,,,,,,,,,Clojure,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,,ClojureScript,No formal training; I'm self-taught,On-the-job training,,,,,,Bachelor of Science in Computer Science (or related field),,,,Rather not say,Rather not say,Employed full-time,Consulting,I'm somewhat satisfied with my job,I can recommend or request products,I rarely work remote,No,I am not interested in other job opportunities,,,,,,Tech stack,,,Work/life balance,,,,,Company culture,,,,,Neutral - I don't mind working in the office or remotely,Finding time to job search,,,,,,,Rarely,I wish more recruiters contacted me!,Great,Great,I don't have an account,Great,I don't have an account,Hate,I don't have an account,Message is personalized,,,,Company culture is described,,,,,,,Tech stack,,,People I would be working with,Details about the product or project I'd be working on,Great,Great,Great,Great,Great,,,,,,,,,,,,,,,,0,1-2 hours per week,Multipleætimes a day,XEmacs,,Dark,Git,,,,,,,,,,,Git,,To get help for my job,To give help to others,Because I can't do my job without it,,,,To receive help onæmy personal projects,Because I love to learn,,Usually,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,It feels good to demonstrate my expertise.,,,,,"I don't answer much (or at all), but I want to answer more"
Denmark,35-39,Male,It depends,11+ years,Back-end web developer,Windows 8,,,,AngularJS,,,,C#,,,Cordova,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,JavaScript,,,,Node.js,,,,,,,,,,,,,SQL,SQL Server,,,,,,Android,,AngularJS,,,,C#,,,Cordova,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,iOS,,JavaScript,,,MongoDB,Node.js,,,,,,,,,,,,,SQL,,,,,,,,,,,,,,Bachelor of Science in Computer Science (or related field),,,,"$100,000 - $120,000",110000,Employed full-time,Consulting,I love my job,"I influence purchasing decisions, but don't have final approval",I rarely work remote,Yes,I am not interested in other job opportunities,,,,,,,,,Work/life balance,,,,Quality of colleagues,Company culture,,,,,Very important,,,Searching for a job that seems interesting,,,,,Rarely,"Please, make the recruiter spamŒæstop",Hate,Tolerate,I don't have an account,Hate,I don't have an account,Hate,Hate,Message is personalized,Code or projects I've worked on are referenced,,,Company culture is described,,,,,,,,,,People I would be working with,,Hate,Tolerate,Great,Great,Great,Show meæmore live code,,,,Introduce me to the team,,Show me the space in which I will work,,,,,,,,,4,5-10 hours per week,Multipleætimes a day,NotePad++,,Light,Git,Mercurial,,,,TFS,,,,,,Mercurial,,To get help for my job,,,,,,To receive help onæmy personal projects,,,Usually,,,,,,,"I don't answer much (or at all), and I don't want to",
Egypt,25-29,Male,Tabs,2 - 5 years,Back-end web developer,Mint,,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,Python,,,,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,Go,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,,No formal training; I'm self-taught,,,,,,,,,,,"Less than $20,000",10000,Employed full-time,Consulting,I'm somewhat satisfied with my job,I have no say in purchasing what I need or want at work,Part-time Remote,No,I am actively looking for a new job,,,,,,,,,,Opportunity for advancement,,,Quality of colleagues,,,,,Flexible work hours,Somewhat important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,30-34,Prefer not to disclose,Spaces,6 - 10 years,Back-end web developer,Windows 7,,,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,"groovy/grails, drools",,,,,,,,,,,Clojure,,,F#,,,Haskell,,,JavaScript,,,,,,,,Python,,,,,,Scala,,,,,,,,,,,,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,Bachelor of Science in Computer Science (or related field),,,,"$60,000 - $80,000",70000,Employed full-time,Consulting,I'm somewhat satisfied with my job,I have no say in purchasing what I need or want at work,Full-time Remote,No,I am open to new job opportunities,,,,,,,,,,,,,Quality of colleagues,Company culture,,Building something that matters,,,Somewhat important,,,,,Writing my CV and keeping it updated,Taking time off work to interview,The interview process,Rarely,I wish more recruiters contacted me!,Great,Great,I don't have an account,Tolerate,I don't have an account,I don't have an account,I don't have an account,Message is personalized,,,Team I would be working with isædescribed,Company culture is described,,,,Salary,,,Tech stack,,,People I would be working with,,Tolerate,Tolerate,Great,Great,Great,Show meæmore live code,,,,Introduce me to the team,,,,Prepare me for who I will be speaking with,,,,,Because the jobs ads are right there on Stack Overflow,,3,1-2 hours per week,Multipleætimes a day,atom.io,,Dark,Git,Mercurial,SVN,,,,,,,,,Mercurial,,To get help for my job,To give help to others,Because I can't do my job without it,,,To communicate with others like me,To receive help onæmy personal projects,Because I love to learn,,Usually,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,,,I feel a sense of responsibility to the developer community,,,
