What Country or Region do you live in?,Which US State or Territory do you live in?,How old are you?,How many years of IT/Programming experience do you have?,How would you best describe the industry you currently work in?,How many people work for your company?,Which of the following best describes your occupation?,"Including yourself, how many developers are employed at your company?",How large is the team that you work on?,What other departments / roles do you interact with regularly?,,,,,,,,,,"If your company has a native mobile app, what platforms do you support?",,,,,,,"If you make a software product, how does your company make money? (You can choose more than one)",,,,,,,,"In an average week, how do you spend your time?",,,,,,,,What is your involvement in purchasing products or services for the company you work for? (You can choose more than one),,,,,,,What types of purchases are you involved in?,,,,,,"What is your budget for outside expenditures (hardware, software, consulting, etc) for 2013?",Which of the following languages or technologies have you used significantly in the past year?,,,,,,,,,,,,,,Which technologies are you excited about?,,,,,,,,,,,Which desktop operating system do you use the most?,"Please rate how important each of the following characteristics of a company/job offer are to you.    Please select a MAXIMUM of 3 items as ""Non-Negotiables"" to help us identify the most important items, those where you would never consider a company if they didn't meet them.",,,,,,,,,,,,,,,,Have you changed jobs in the last 12 months?,What best describes your career / job satisfaction?,"Including bonus, what is your annual compensation in USD?",Which technology products do you own? (You can choose more than one),,,,,,,,,,,,,,"In the last 12 months, how much money have you spent on personal technology-related purchases?",Please rate the advertising you've seen on Stack Overflow,,,,,,What advertisers do you remember seeing on Stack Overflow?,What is your current Stack Overflow reputation?,How do you use Stack Overflow?,,,
Response,Response,Response,Response,Response,Response,Response,Response,Response,System Administrators,Designers,Product Managers,Testers / Quality Assurance,Technical Support,Sales / Marketing,Consultants,Customers,Finance,Human Resources,iPhone,iPad,Android phone,Android tablet,Blackberry,Other,No mobile app,Advertising,Direct sales to consumers,Direct sales to companies,Software as a service / recurring billing,Mobile app sales,Consulting,Grants / outside fund-raising,Other,Developing new features,Refactoring / code quality,Fixing bugs,Technical support,Meetings,Learning new skills,Surfing the Internet,Commuting,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",I have a discretionary budget at my disposal,I can buy anything I want without asking anyone,Check Writer,No Involvement,I'm a Seller,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,Other,Response,C,C++,C#,Java,JavaScript,jQuery,JQuery,Node.js,Objective-C,PHP,Python,Ruby,SQL,Other (please specify),Node.js,Haskell,CoffeeScript,Dart,TypeScript,C++11,WinRT,Redis,MongoDB,F#,PhoneGap,Response,High Base Compensation,Stock Options/Profit Sharing Program,Identification With the Company/Goals,Excitement About the Company's Products,Opportunity to Use/Learn New Technologies,Room for Growth of Skills/Knowledge,"High Quality Office Space (amenities, lounge space, free food, etc)",High Caliber Team (is everyone else smart/hardworking),"Positive Organization Structure (not much bureaucracy, helpful management)",Lots of Control Over Your Own Work,"Quality of Workstation (dream machine, 30inch monitors, etc)",Autonomy Over Budget/Expenditures,Office in a Desirable City/Area,Convenient Commute or Telecommute Options,40 hour work week,Limited night / weekend work,Response,Response,Response,iPhone,Android,Blackberry,Windows Phone,iPad,Android Tablet,Kindle Fire,Windows Tablet,Kindle,Nook,PS3,Xbox,Wii,Other (please specify),Response,The ads are relevant,The ads are entertaining,The ads are Informative,I click on ads that interest me,I've taken a trial/purchased a product from ads,What ads? I use an ad blocker,Open-Ended Response,Response,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,Other (please specify)
United States of America,New York,35-39,11,Finance / Banking,3001,Manager of Developers or Team Leader,100,15,System Administrators,,Product Managers,Testers / Quality Assurance,Technical Support,Sales / Marketing,,,Finance,Human Resources,iPhone,iPad,,,,,,,,,,,,,Other,5-10 hours,5-10 hours,5-10 hours,2-5 hours,10-20 hours,1-2 hours,2-5 hours,2-5 hours,,"I influence purchasing decisions, but don't have final approval",,,,,,Hardware,Servers,Software,,Consultants,,100001,,,C#,,JavaScript,jQuery,,,,,Python,,SQL,,Node.js,,CoffeeScript,,TypeScript,,,,MongoDB,,,Windows 7,Very Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Not Very Important,Somewhat Important,No,I enjoy going to work,">$140,000",iPhone,,Blackberry,,iPad,,,,,,,,Wii,,">$3,000",Neutral,,,Strongly Disagree,Strongly Disagree,Disagree,dont really look at the ads,3000,,Ask questions to solve problems,,
United States of America,Washington,51-60,11,Manufacturing,3001,Enterprise Level Services,100,9/15/2013,System Administrators,Designers,Product Managers,,Technical Support,,,Customers,,,,,,,,,No mobile app,,,,,,,,Other,2-5 hours,2-5 hours,1-2 hours,5-10 hours,5-10 hours,1-2 hours,1-2 hours,1-2 hours,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",,,,,,,,,,Consultants,,100001,,,,,JavaScript,,,,,,,,,"XSLT, SVG, ASP",,,,,,,,,,,,Windows 7,Non-Negotiable,Very Important,Somewhat Important,Non-Negotiable,Somewhat Important,Non-Negotiable,Not Very Important,Somewhat Important,Very Important,Somewhat Important,Not Very Important,Not Very Important,Not Very Important,Very Important,Very Important,Somewhat Important,No,Love my job,"$120,000 - $140,000",,Android,,,,,,,,,,,,,$251-$500,Neutral,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,,50,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
United States of America,Montana,>60,11,Software Products,1/25/2013,IT Staff / System Administrator,1/5/2013,1/3/2013,,,,,,,Consultants,,,,,,Android phone,,,,,,,,,,Consulting,,,5-10 hours,5-10 hours,5-10 hours,5-10 hours,2-5 hours,5-10 hours,5-10 hours,None,,,I have a discretionary budget at my disposal,,,,,Hardware,,Software,"User Equipment: Monitors, PCs, Laptops",,,"$1,001 - $5,000",C,,,,,,,,,,Python,,,,,,,,,,,,,,,Linux,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Somewhat Important,Somewhat Important,Very Important,Somewhat Important,Somewhat Important,Very Important,Somewhat Important,Not Very Important,Very Important,Not Very Important,Not Very Important,No,I'm not happy in my job,Rather not say,,Android,,,,,,,Kindle,,,,,,"$1,001-$2,000",Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Agree,None,3000,Read other people's questions to solve my problems,,Answer questions I know the answer to,
Middle East,,25-29,2/5/2013,Software Products,1/25/2013,Back-End Web Developer,6/15/2013,Just me!,System Administrators,Designers,Product Managers,Testers / Quality Assurance,,Sales / Marketing,,,,,iPhone,iPad,Android phone,,,,,,,,,,,Grants / outside fund-raising,,5-10 hours,1-2 hours,2-5 hours,,2-5 hours,1-2 hours,2-5 hours,1-2 hours,I can recommend or request products,,,,,,,,Servers,,,,,Don't know,,,,,JavaScript,,,Node.js,,,,,,,Node.js,,,,,,,Redis,MongoDB,,,Mac OS X,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Non-Negotiable,Very Important,Very Important,Very Important,Very Important,Non-Negotiable,Somewhat Important,,Somewhat Important,Very Important,,Non-Negotiable,Yes,Love my job,"$60,000 - $80,000",,Android,,,,,,,,,,,,,<$100,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,,2000,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
United States of America,Washington,20-24,2/5/2013,Web Services,1/25/2013,Full-Stack Web Developer,1/5/2013,Just me!,,Designers,,,,Sales / Marketing,,,,,,,,,,,No mobile app,,,,,,,,,5-10 hours,2-5 hours,2-5 hours,1-2 hours,1-2 hours,5-10 hours,5-10 hours,None,I can recommend or request products,,I have a discretionary budget at my disposal,,,,,,,Software,,,,"<$1,000",,,,,JavaScript,jQuery,,,,,,Ruby,,,Node.js,,CoffeeScript,,,,,,MongoDB,,,Linux,Not Very Important,Don't Care,Non-Negotiable,Very Important,Somewhat Important,Very Important,Not Very Important,Somewhat Important,Somewhat Important,Not Very Important,Not Very Important,Don't Care,Non-Negotiable,Not Very Important,Not Very Important,Don't Care,Yes,I wish I had a job!,"$20,000 - $40,000",,Android,,,,,,,,,,,,,"$501-$1,000",Neutral,Disagree,Agree,Agree,Strongly Disagree,Disagree,,100,Read other people's questions to solve my problems,,,
United States of America,Oklahoma,< 20,2/5/2013,Other,"Other (not working, consultant, etc.)",Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-2 hours,1-2 hours,2-5 hours,1-2 hours,None,20+ hours,20+ hours,None,,"I influence purchasing decisions, but don't have final approval",,,,,,Hardware,,Software,,,,"<$1,000",C,,,,JavaScript,jQuery,,,,PHP,Python,,,,,,,,,C++11,,,,,,Linux,Somewhat Important,Somewhat Important,Very Important,Somewhat Important,Very Important,Very Important,Somewhat Important,Very Important,Somewhat Important,Somewhat Important,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Not Very Important,Yes,I enjoy going to work,Student / Unemployed,,Android,,,,,,,,,,,Wii,,$100-$250,Neutral,Agree,Neutral,Disagree,Strongly Disagree,Agree,,2000,Read other people's questions to solve my problems,,Answer questions I know the answer to,
United States of America,Texas,20-24,11,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,Wisconsin,40-50,11,Consulting,26-100,Back-End Web Developer,6/15/2013,1/3/2013,System Administrators,,Product Managers,Testers / Quality Assurance,,,Consultants,,,,iPhone,iPad,Android phone,Android tablet,,,,,,Direct sales to companies,,,Consulting,,,10-20 hours,10-20 hours,5-10 hours,5-10 hours,,2-5 hours,1-2 hours,1-2 hours,,"I influence purchasing decisions, but don't have final approval",,,,,,,,Software,"User Equipment: Monitors, PCs, Laptops",,,Don't know,,,C#,Java,,jQuery,,,,,,,SQL,,Node.js,,,,TypeScript,,,,MongoDB,,,Windows 7,Very Important,Not Very Important,Non-Negotiable,Very Important,Non-Negotiable,Non-Negotiable,Very Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Not Very Important,Very Important,Somewhat Important,Somewhat Important,Very Important,Yes,I enjoy going to work,"$80,000 - $100,000",,Android,,,,Android Tablet,,,Kindle,,,Xbox,Wii,,"$1,001-$2,000",Neutral,Neutral,Neutral,Neutral,Disagree,Agree,,50,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
United States of America,Ohio,20-24,2/5/2013,Other,"Other (not working, consultant, etc.)",Student,1/5/2013,Just me!,,,,,Technical Support,,,,,,,,,,,,No mobile app,,,,,,,,Other,2-5 hours,2-5 hours,10-20 hours,2-5 hours,2-5 hours,,1-2 hours,1-2 hours,,,,,,No Involvement,,,,,,,,,C,C++,,Java,JavaScript,jQuery,,,,,Python,,,,,,,Dart,,C++11,WinRT,,,,,Linux,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Don't Care,Somewhat Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Don't Care,Not Very Important,Somewhat Important,No,I wish I had a job!,Student / Unemployed,,,,,,,,,,,,Xbox,Wii,iPod Touch,$100-$250,Strongly Agree,Neutral,Agree,Agree,Neutral,Disagree,,Don't have an account,Read other people's questions to solve my problems,,,
India,,25-29,6/10/2013,Software Products,3001,Desktop Software Developer,100,9/15/2013,System Administrators,Designers,Product Managers,Testers / Quality Assurance,Technical Support,,,,,,,,,,,,No mobile app,,Direct sales to consumers,Direct sales to companies,,,,,,20+ hours,10-20 hours,2-5 hours,1-2 hours,,5-10 hours,1-2 hours,1-2 hours,I can recommend or request products,,,I can buy anything I want without asking anyone,,,,Hardware,,Software,,,,"$25,001 - $100,000",,,,,,,,,,,,,SQL,PERL,Node.js,Haskell,,,,,,,MongoDB,,,Linux,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Not Very Important,Somewhat Important,Non-Negotiable,Very Important,Non-Negotiable,Somewhat Important,Somewhat Important,Non-Negotiable,Very Important,Very Important,No,It's a paycheck,Rather not say,,Android,,,,Android Tablet,,,,,,,,,"$501-$1,000",Disagree,Disagree,Strongly Disagree,Agree,Disagree,Neutral,,5000,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
India,,20-24,2/5/2013,Software Products,1/25/2013,Mobile Application Developer,6/15/2013,1/3/2013,System Administrators,Designers,,Testers / Quality Assurance,,,,Customers,,,iPhone,,Android phone,,,,,Advertising,,,,,,,,10-20 hours,10-20 hours,1-2 hours,,5-10 hours,10-20 hours,5-10 hours,5-10 hours,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",,,,,,,,Software,,,,"$1,001 - $5,000",,C++,,Java,JavaScript,jQuery,,,,PHP,,,,"HTML, CSS3, MySQL",Node.js,,,,,,,,,,PhoneGap,Mac OS X,Very Important,Not Very Important,Very Important,Non-Negotiable,Non-Negotiable,Non-Negotiable,Not Very Important,Very Important,Non-Negotiable,Very Important,Not Very Important,Don't Care,Somewhat Important,Very Important,Very Important,Non-Negotiable,No,Love my job,Rather not say,,,,,,,,,,,,,,,<$100,Agree,Neutral,Agree,Agree,Neutral,Neutral,Careers 2.0  Microsoft Apptivate,200,Read other people's questions to solve my problems,,Answer questions I know the answer to,
United States of America,Louisiana,30-34,2/5/2013,Web Services,1/25/2013,Full-Stack Web Developer,1/5/2013,1/3/2013,System Administrators,Designers,Product Managers,,,,,Customers,,,,,,,,,No mobile app,,,,,,,,,10-20 hours,1-2 hours,5-10 hours,1-2 hours,2-5 hours,2-5 hours,5-10 hours,None,I can recommend or request products,,,,,,,,,Software,,,,Don't know,,,,,JavaScript,jQuery,,,,PHP,Python,,SQL,xquery,,Haskell,,,,,,,,F#,,Mac OS X,Somewhat Important,,Somewhat Important,Very Important,Very Important,Non-Negotiable,Not Very Important,Non-Negotiable,Non-Negotiable,Very Important,Not Very Important,Don't Care,Don't Care,Not Very Important,Somewhat Important,Not Very Important,No,I'm not happy in my job,"$60,000 - $80,000",iPhone,,Blackberry,,iPad,,,,Kindle,,,,,,$251-$500,Strongly Agree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,,5000,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
United States of America,California,20-24,2/5/2013,Web Services,101-999,Back-End Web Developer,50-100,4/8/2013,System Administrators,Designers,Product Managers,Testers / Quality Assurance,,,,,,,,,,,,,,,Direct sales to consumers,Direct sales to companies,Software as a service / recurring billing,,Consulting,,,5-10 hours,2-5 hours,10-20 hours,None,1-2 hours,1-2 hours,1-2 hours,None,,,,,,No Involvement,,,,,,,,,,,,,JavaScript,,,,,,,Ruby,SQL,Scala,,,,,,,,,,,,Mac OS X,Very Important,Very Important,Very Important,Not Very Important,Non-Negotiable,Non-Negotiable,Somewhat Important,Very Important,Very Important,Very Important,Somewhat Important,Not Very Important,Very Important,Somewhat Important,Very Important,Non-Negotiable,No,It's a paycheck,"$60,000 - $80,000",,Android,,,,,,,,,,,,Custom built PC,"$501-$1,000",Agree,Disagree,Agree,Agree,Neutral,Strongly Agree,Microsoft Azure,1,Read other people's questions to solve my problems,,Answer questions I know the answer to,
Other Asia,,25-29,6/10/2013,Software Products,1/25/2013,Mobile Application Developer,6/15/2013,4/8/2013,,,Product Managers,,Technical Support,,,,,Human Resources,iPhone,iPad,Android phone,Android tablet,Blackberry,,,,,Direct sales to companies,,Mobile app sales,Consulting,Grants / outside fund-raising,,10-20 hours,5-10 hours,5-10 hours,5-10 hours,2-5 hours,2-5 hours,10-20 hours,5-10 hours,I can recommend or request products,,,,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,,"$10,001 - $25,000",,,,Java,,jQuery,,Node.js,Objective-C,PHP,,,SQL,,Node.js,,,,,,WinRT,Redis,MongoDB,,,Mac OS X,,,,,Non-Negotiable,Non-Negotiable,Non-Negotiable,,,,,,,,,,Yes,Love my job,Rather not say,iPhone,Android,Blackberry,,iPad,,,,,,,,,,$251-$500,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,"...unfortunately, I don't remember anything :|",5000,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
United States of America,Virginia,20-24,<2,Web Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,Alaska,25-29,2/5/2013,Other,"Other (not working, consultant, etc.)",Student,,Just me!,,,,,,,,,,,,,,,,,No mobile app,,,,,,,,,None,None,None,None,None,10-20 hours,20+ hours,None,,,,,,No Involvement,,,,,,,,,,,,Java,JavaScript,jQuery,,Node.js,,PHP,Python,,SQL,,Node.js,,,,,,,Redis,MongoDB,,,Mac OS X,Somewhat Important,Don't Care,Very Important,Very Important,Non-Negotiable,Non-Negotiable,Very Important,Non-Negotiable,Very Important,Very Important,Somewhat Important,Very Important,Somewhat Important,Very Important,Somewhat Important,Somewhat Important,No,I wish I had a job!,Student / Unemployed,,Android,,Windows Phone,,,,,Kindle,,,Xbox,,,"$1,001-$2,000",Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,,2000,Read other people's questions to solve my problems,,Answer questions I know the answer to,
Canada,,30-34,11,Web Services,1/25/2013,"Executive (VP of Eng, CTO, CIO, etc.)",1/5/2013,4/8/2013,,Designers,Product Managers,,Technical Support,Sales / Marketing,,Customers,Finance,,,,,,,,No mobile app,,,Direct sales to companies,Software as a service / recurring billing,,Consulting,,,1-2 hours,None,1-2 hours,2-5 hours,5-10 hours,1-2 hours,20+ hours,1-2 hours,,,,I can buy anything I want without asking anyone,,,,,Servers,Software,,Consultants,,Don't know,,,C#,,JavaScript,,,,Objective-C,,,,SQL,,,Haskell,,,,,,,MongoDB,,,Windows 7,Very Important,Somewhat Important,Very Important,Non-Negotiable,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Not Very Important,Somewhat Important,Somewhat Important,Not Very Important,Very Important,Yes,I enjoy going to work,Rather not say,iPhone,,,,,,,,Kindle,,,,,,"$501-$1,000",Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Disagree,,2000,Read other people's questions to solve my problems,,Answer questions I know the answer to,
Australia,,25-29,6/10/2013,Other,3001,Enterprise Level Services,100,4/8/2013,System Administrators,,,Testers / Quality Assurance,,Sales / Marketing,,,,,,,,,,,No mobile app,,,,Software as a service / recurring billing,,,,,5-10 hours,1-2 hours,1-2 hours,,5-10 hours,1-2 hours,5-10 hours,5-10 hours,I can recommend or request products,,,,,,,,,Software,,,,Don't know,,,,,,,,,,PHP,Python,,SQL,,,Haskell,,,,,,,,,,Linux,Somewhat Important,Not Very Important,Somewhat Important,Not Very Important,Somewhat Important,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Not Very Important,Very Important,Very Important,Very Important,Non-Negotiable,No,It's a paycheck,"$40,000 - $60,000",,Android,,,,Android Tablet,,,,,,Xbox,Wii,,<$100,Disagree,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Disagree,,10000,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
United States of America,Minnesota,20-24,<2,Software Products,101-999,Mobile Application Developer,100,1/3/2013,,Designers,Product Managers,,,,,,,,,,,,,,No mobile app,,,,,,Consulting,,,10-20 hours,5-10 hours,5-10 hours,None,1-2 hours,1-2 hours,10-20 hours,2-5 hours,,,,,,No Involvement,,,,,,,,,,,,,,,,,Objective-C,,,,,,,Haskell,,,,C++11,,,,,,Mac OS X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,Texas,< 20,2/5/2013,Healthcare,"Other (not working, consultant, etc.)",Student,100,Just me!,,Designers,,,,,,,Finance,,iPhone,iPad,,Android tablet,,,,,,,Software as a service / recurring billing,,,,,2-5 hours,2-5 hours,5-10 hours,,,20+ hours,2-5 hours,,I can recommend or request products,,,,,,,,,Software,,,,100001,,,,Java,,,,,Objective-C,,,Ruby,,,Node.js,,,,,,,,MongoDB,,,Mac OS X,Non-Negotiable,Non-Negotiable,Non-Negotiable,Non-Negotiable,Non-Negotiable,Non-Negotiable,Non-Negotiable,Non-Negotiable,Non-Negotiable,Non-Negotiable,Non-Negotiable,Non-Negotiable,Non-Negotiable,Non-Negotiable,Non-Negotiable,Non-Negotiable,Yes,I wish I had a job!,">$140,000",iPhone,Android,,,iPad,,,,,,,,Wii,,">$3,000",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,peer1 hosting,1000,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
United States of America,Texas,20-24,6/10/2013,Web Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,,< 20,2/5/2013,Other,"Other (not working, consultant, etc.)",Student,1/5/2013,Just me!,,,,,,,,Customers,,,,,,,,,No mobile app,,,,,,,,,1-2 hours,1-2 hours,2-5 hours,1-2 hours,2-5 hours,2-5 hours,2-5 hours,2-5 hours,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",,,,,,,,,,,Other,"<$1,000",,C++,,,JavaScript,jQuery,,,,,Python,,,Django,,Haskell,,,,C++11,,,,,,Linux,Very Important,Somewhat Important,Very Important,Somewhat Important,Very Important,Very Important,Somewhat Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Not Very Important,Somewhat Important,Very Important,Somewhat Important,Somewhat Important,No,I wish I had a job!,Student / Unemployed,,Android,,,,Android Tablet,,,,,,,,"iPod, iPod Touch, Sony Reader","$501-$1,000",Agree,Agree,Strongly Agree,Neutral,Disagree,Strongly Disagree,Stack Overflow (Careers 2.0),1000,Read other people's questions to solve my problems,,Answer questions I know the answer to,
United States of America,Texas,40-50,11,Web Services,101-999,Manager of Developers or Team Leader,100,15,System Administrators,Designers,Product Managers,Testers / Quality Assurance,Technical Support,,,,Finance,Human Resources,iPhone,,,,,,,,,,Software as a service / recurring billing,,,,,,,,,20+ hours,1-2 hours,,5-10 hours,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",I have a discretionary budget at my disposal,,,,,Hardware,Servers,Software,,Consultants,Other,100001,,,,,,,,,,,,,,,Node.js,,,,,,,,,,,Mac OS X,Very Important,Not Very Important,Somewhat Important,Somewhat Important,Non-Negotiable,Non-Negotiable,Not Very Important,Non-Negotiable,Non-Negotiable,Non-Negotiable,Somewhat Important,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,I enjoy going to work,"$120,000 - $140,000",iPhone,,,,iPad,,Kindle Fire,,,,,Xbox,Wii,,"$1,001-$2,000",Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,,100,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
United States of America,Illinois,30-34,6/10/2013,Finance / Banking,3001,Desktop Software Developer,100,1/3/2013,,Designers,Product Managers,Testers / Quality Assurance,,,,,,,iPhone,iPad,,,,,,,,Direct sales to companies,,,,,,20+ hours,5-10 hours,5-10 hours,None,1-2 hours,2-5 hours,2-5 hours,5-10 hours,I can recommend or request products,,,,,,,,,Software,,,,Don't know,,C++,,,,,,,,,,,SQL,"Perl, DCL, bash",,,,,,C++11,,,,,,Windows 7,Somewhat Important,Somewhat Important,Very Important,Very Important,Very Important,Non-Negotiable,Very Important,Very Important,Somewhat Important,Somewhat Important,Not Very Important,Don't Care,Non-Negotiable,Very Important,Non-Negotiable,Very Important,No,I enjoy going to work,"$120,000 - $140,000",,,Blackberry,,,,,,Kindle,,,,Wii,,<$100,Agree,Agree,Neutral,Disagree,Strongly Disagree,Strongly Agree,Other Stack Exchange sites,10000,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
Canada,,20-24,2/5/2013,Education,1/25/2013,Front-End Web Developer,1/5/2013,Just me!,System Administrators,Designers,,,,,,,,,,,,,,,No mobile app,,,,,,,,,2-5 hours,2-5 hours,2-5 hours,None,None,5-10 hours,10-20 hours,5-10 hours,,,,I can buy anything I want without asking anyone,,,,Hardware,Servers,Software,,,,"$1,001 - $5,000",C,,,,,jQuery,,,,PHP,Python,,SQL,,Node.js,,CoffeeScript,,,,,,,,,Windows 7,Somewhat Important,Somewhat Important,Not Very Important,Not Very Important,Very Important,Very Important,Somewhat Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Very Important,Non-Negotiable,Non-Negotiable,Somewhat Important,Not Very Important,Yes,I wish I had a job!,Student / Unemployed,,Android,,,,,,,,,,,,,$100-$250,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,,50,Read other people's questions to solve my problems,Ask questions to solve problems,,
Other Europe,,40-50,11,Consulting,1/25/2013,Full-Stack Web Developer,1/5/2013,Just me!,,,,,,,,Customers,,,,,,,,,No mobile app,,,,,,,,,2-5 hours,2-5 hours,2-5 hours,1-2 hours,1-2 hours,1-2 hours,20+ hours,,,,,I can buy anything I want without asking anyone,,,,,Servers,,"User Equipment: Monitors, PCs, Laptops",,,Don't know,,,,,JavaScript,jQuery,,,,,Python,,SQL,,,,,,,,,,,,,Linux,Non-Negotiable,Don't Care,Not Very Important,Somewhat Important,Not Very Important,Not Very Important,Somewhat Important,Somewhat Important,Very Important,Not Very Important,Don't Care,Don't Care,Don't Care,Non-Negotiable,Non-Negotiable,Not Very Important,No,I wish I had a job!,"$60,000 - $80,000",,Android,,,,,,,,,,,Wii,,$251-$500,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Careers.,10000,,,Answer questions I know the answer to,
United States of America,New Jersey,30-34,11,Healthcare,3001,I don't work in tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Involvement,,,,,,,,,,,C#,,,,,,,,,,,VB,,,,,,,,,,,,Windows 7,,,,,,,,,,,,,,,,,,I'm not happy in my job,">$140,000",iPhone,Android,,Windows Phone,iPad,,,Windows Tablet,,,,,,,"$1,001-$2,000",Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,,100,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
United States of America,Washington DC,20-24,2/5/2013,Consulting,26-100,Other,1/5/2013,4/8/2013,System Administrators,,,,,,Consultants,Customers,,,,,,,,,No mobile app,,,,,,,,,20+ hours,1-2 hours,10-20 hours,5-10 hours,2-5 hours,2-5 hours,2-5 hours,2-5 hours,,"I influence purchasing decisions, but don't have final approval",,,,,,,,Software,,,,Don't know,,,,,,,,,,,Python,,SQL,,Node.js,,CoffeeScript,,,,,,MongoDB,,,Linux,Somewhat Important,Not Very Important,Very Important,Very Important,Very Important,Non-Negotiable,Don't Care,Non-Negotiable,Somewhat Important,Somewhat Important,Not Very Important,Don't Care,Very Important,Very Important,Don't Care,Not Very Important,Yes,Love my job,"$40,000 - $60,000",,,Blackberry,,,,,,,,,,,,<$100,Neutral,Neutral,Neutral,Agree,Strongly Disagree,Strongly Disagree,,100,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
